URL,Paragraph
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"With the aid of technology developed by students from the University of the Cordilleras, Baguio City took a step forward in improving its waste management."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"According to 24 Oras’ Game Changer report by Martin Javier on Friday, the local government has purchased 10 units of the automated Baraki trash can, worth P50,000 per unit, following the pilot test in July 2023."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"Baraki, short for Basurahang “Taraki” (beautifying the environment), is a solar-powered garbage can that has a motion sensor for opening and closing and has the ability to monitor the capacity of the garbage can for timely waste collection."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,The units were built to be weatherproof with a real-time monitoring and notification system that would alert the public when they're full and refuse to open.
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,Baraki was developed by a group of engineering students from the University of the Cordilleras in six months in 2022.
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"“Sa Baguio City po, issue talaga yung basurahan… parang lagi pong overflowing yung basura,” said developer Samuel Sta. Cruz."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"(In Baguio City, garbage is really an issue… it seems like trash cans are always overflowing)"
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"“Makakatulong din po sa mga garbage collector if ever nag-alert po yung bin, saka lang po sila pupunta,” added another Baraki developer, AJ Mosquete."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,(This would really help garbage collectors so that they would only empty the bin when it alerts them.)
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,Developers aim to add a weight sensor to the units in the near future.
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"Meanwhile, waste disposal violations can be reported through a web-based reporting system Alertrash, which was also developed by University of the Cordilleras students in November 2023."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,The centralized system had already been tested in several barangays in Baguio.
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"“Ang main points po namin is to have a system to report waste disposal violations and to advocate for zero waste,” said Alertrash developer Aldith Mirador."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,(Our main points is to have a system to report waste disposal violations and to advocate for zero waste.)
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"“Ang kagandahan kasi makakarespond kaagad sila if ever na ma-tag ang barangay nila doon sa report ni resident,” added Alertrash developer Stefany Caliao."
https://www.gmanetwork.com/news/scitech/technology/913217/university-of-the-cordilleras-students-develop-smart-trash-bins-waste-management-software-for-baguio-c/story/,"(The good thing is that they can immediately respond if their barangays will be tagged in the resident report) —Jiselle Anne Casucian/RF, GMA Integrated News"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,Photo by Joy Anne Palaoag
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"BAGUIO CITY – The local government declared the City’s ambition to achieve smart city status by 2027 at the Luzon ICT Champions Conference 2024, highlighting a strategic commitment to a smart, green, and sustainable quality of life."
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"“Our decision to transform the city of Baguio into a smart city is aligned with our strategic direction of becoming a smart, green, and sustainable city with the ultimate goal of improving the urban quality of life of our residents,” city officials said."
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,It was also emphasized that the city’s primary goal is to utilize technology to combat climate change effectively and work towards achieving net zero emissions. 
