title,url,,,,,,,,,
Baguio’s nightmare,https://www.philstar.com/business/2020/01/11/1983736/baguios-nightmare,,,,,,,,,
Baguio mayor faces another malversation charge,https://baguioheraldexpressonline.com/baguio-mayor-faces-another-malversation-charge/,,,,,,,,,
"‘Carmageddon’: Traffic worsens in Baguio, LGU seeks solutions",https://news.abs-cbn.com/spotlight/12/23/22/traffic-worsens-in-baguio-lgu-seeks-solutions,,,,,,,,,
4th graft case filed versus 3 Baguio officials,https://baguioheraldexpressonline.com/4th-graft-case-filed-versus-3-baguio-officials/,,,,,,,,,
Waste-to-energy projects in Baguio to be scrapped,https://newsinfo.inquirer.net/1968551/waste-to-energy-projects-in-baguio-to-be-scrapped,,,,,,,,,
Baguio booking scam exposed,https://www.bworldonline.com/the-nation/2024/04/02/585310/baguio-booking-scam-exposed/,,,,,,,,,
Groups assail conviction of Baguio journalist Frank Cimatu for cyber-libel,https://www.bulatlat.com/2022/12/13/groups-assail-conviction-of-baguio-journalist-frank-cimatu-for-cyber-libel/,,,,,,,,,
Another netizen sued for spreading fake crime news,https://newsinfo.inquirer.net/1669795/another-netizen-sued-for-spreading-fake-crime-news,,,,,,,,,
Court convicts Baguio City journalist of cyber-libel over Piñol post,https://www.bworldonline.com/the-nation/2022/12/13/492909/court-convicts-baguio-city-journalist-of-cyber-libel-over-pinol-post/,,,,,,,,,
Sablan elated over withdrawal of WTE project ,https://baguioheraldexpressonline.com/sablan-elated-over-withdrawal-of-wte-project/,,,,,,,,,
The need to push unpopular but beneficial measures,https://www.pna.gov.ph/opinion/pieces/895-the-need-to-push-unpopular-but-beneficial-measures,,,,,,,,,
Issues/challenges in Baguio City ,https://typeset.io/questions/issues-challenges-in-baguio-city-dclp7f04o8,,,,,,,,,
Baguio City’s data system attacked 3M times in 2023,https://www.philstar.com/nation/2024/02/05/2331129/baguio-citys-data-system-attacked-3m-times-2023,,,,,,,,,
Baguio City hit by 3 M cyberattacks in 2023,https://mb.com.ph/2024/2/4/baguio-city-hit-by-3-m-cyberattacks-in-2023,,,,,,,,,
Baguio’s Igorot Stone Kingdom shut down over permit and safety issues,https://www.rappler.com/life-and-style/travel/baguio-igorot-stone-kingdom-shut-down-permit-safety-issues/,,,,,,,,,
Congested Baguio City,https://www.sunstar.com.ph/pampanga/congested-baguio-city,,,,,,,,,
Are you willing to pay P250 just to enter Baguio’s Session Road?,https://www.rappler.com/philippines/luzon/baguio-city-session-road-congestion-fee-proposal/,,,,,,,,,
SEC busts alleged Baguio investment scam,https://business.inquirer.net/405303/sec-busts-alleged-baguio-investment-scam,,,,,,,,,
Baguio City only used 8% of its P1.02-B development projects fund for 2022 – state auditors,https://www.rappler.com/philippines/luzon/auditors-say-baguio-city-use-development-projects-fund-2022/,,,,,,,,,
Over P100M Baguio City infra projects funds returned to national treasury,https://www.philstar.com/nation/2024/01/07/2324103/over-p100m-baguio-city-infra-projects-funds-returned-national-treasury,,,,,,,,,
Monitoring and Enforcement of the Philippine National Standards (PNS) for Deformed Steel Bars continues in Baguio and Benguet,https://www.dti.gov.ph/archives/regional-archives/car-news-archives/monitoring-and-enforcement-of-the-philippine-national-standards-pns-for-deformed-steel-bars-continues-in-baguio-and-benguet/,,,,,,,,,
COA raises concerns over Baguio’s ‘diversion’ of DPWH’s building project fund,https://www.rappler.com/philippines/luzon/baguio-diversion-dpwh-building-project-fund-audit-report-2022/,,,,,,,,,
Baguio urged to tax tourists for water use,https://newsinfo.inquirer.net/1794048/baguio-govt-urged-to-tax-tourists-for-water-use,,,,,,,,,https://savesubs.com/process?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D53Q93dUEQjg
Baguio visitors warned of false accommodation ads,https://www.pna.gov.ph/articles/1183467,,,,,,,,,
Netizen 'Marites' faces raps for allegedly spreading fake news about Baguio City kidnapping,https://mb.com.ph/2022/09/24/netizen-marites-faces-raps-for-allegedly-spreading-fake-news-about-baguio-city-kidnapping,,,,,,,,,
